price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
3980000,3366,4,1,3,no,no,no,no,yes,0,yes,semi-furnished
4290000,6581,2,1,1,yes,no,no,no,yes,3,no,furnished
6860000,15645,4,2,2,no,no,no,yes,no,2,yes,semi-furnished
2090000,6979,2,1,1,no,no,no,no,no,0,no,unfurnished
7010000,14869,3,3,4,yes,yes,no,no,yes,1,no,semi-furnished
3970000,8853,2,2,2,yes,no,no,no,no,3,yes,unfurnished
4610000,11830,2,1,1,yes,no,no,no,yes,1,yes,furnished
4820000,8305,1,3,3,yes,yes,no,no,no,0,yes,furnished
4890000,5518,5,2,2,yes,no,yes,no,yes,3,no,furnished
5750000,12769,1,1,1,yes,yes,yes,no,yes,3,no,furnished
6740000,15751,1,3,4,yes,no,no,no,yes,3,no,unfurnished
4810000,5484,5,2,4,yes,yes,no,yes,no,3,no,semi-furnished
5380000,12980,3,1,3,yes,yes,no,yes,no,3,no,furnished
4120000,5449,3,3,3,yes,yes,yes,no,no,1,no,semi-furnished
4850000,12080,4,2,2,yes,yes,no,yes,no,0,no,semi-furnished
5330000,13130,2,3,3,yes,yes,no,no,yes,2,no,semi-furnished
4940000,8188,1,3,3,yes,yes,no,no,yes,0,no,furnished
5540000,12372,4,2,1,yes,yes,yes,no,yes,1,no,semi-furnished
3650000,5611,1,3,1,no,yes,no,no,no,2,no,furnished
3390000,2803,3,1,2,no,no,no,no,yes,3,yes,unfurnished
2920000,3052,5,1,2,no,no,no,no,no,1,yes,furnished
4720000,8154,5,2,1,yes,no,no,no,yes,1,no,unfurnished
5860000,14782,2,3,1,yes,no,no,yes,yes,2,no,unfurnished
3190000,3506,4,2,4,yes,yes,no,no,yes,0,no,furnished
5070000,8281,4,2,2,yes,yes,no,no,yes,2,no,furnished
5080000,11893,3,3,3,no,yes,no,no,no,2,no,unfurnished
3120000,4594,1,3,3,yes,no,no,no,no,2,no,semi-furnished
6430000,12149,2,3,3,yes,no,no,no,yes,1,no,semi-furnished
3310000,6101,4,1,3,yes,no,no,no,no,3,no,furnished
6960000,13416,5,3,2,yes,no,yes,no,no,1,yes,furnished
4120000,10077,1,2,4,yes,no,no,no,no,2,no,semi-furnished
4820000,9607,4,2,2,yes,no,no,no,no,1,no,unfurnished
3870000,4222,5,2,4,no,no,yes,no,no,0,no,furnished
4300000,8389,5,1,2,yes,no,no,no,no,2,no,unfurnished
4800000,14113,3,1,1,yes,no,yes,no,no,0,no,semi-furnished
2430000,1934,1,2,4,yes,no,no,no,no,3,no,furnished
5940000,12686,2,3,1,yes,no,yes,no,no,2,no,furnished
6410000,8819,5,3,4,yes,no,no,no,yes,1,no,furnished
5950000,12118,5,1,1,yes,no,yes,yes,no,1,yes,semi-furnished
5320000,11300,4,3,1,yes,no,no,no,no,2,yes,semi-furnished
3670000,7936,1,1,3,no,no,no,no,yes,1,no,semi-furnished
5410000,6141,1,3,4,yes,yes,no,no,no,1,yes,furnished
4740000,10777,3,2,2,yes,no,no,no,no,1,no,semi-furnished
3710000,3690,3,2,1,yes,no,no,no,yes,1,no,semi-furnished
4340000,10148,1,3,1,yes,yes,no,no,no,3,no,semi-furnished
3740000,3027,4,2,4,yes,no,yes,no,no,0,yes,semi-furnished
5720000,11105,3,3,3,no,yes,no,no,no,3,no,furnished
5260000,10798,1,2,1,yes,no,yes,no,yes,1,yes,semi-furnished
2760000,2878,1,3,2,yes,no,no,no,yes,2,no,semi-furnished
4740000,12671,3,2,2,yes,no,no,no,no,0,no,semi-furnished
4970000,7699,4,1,1,yes,no,no,no,yes,1,yes,furnished
7850000,13099,5,3,4,yes,yes,no,no,yes,3,yes,semi-furnished
4220000,2255,3,2,3,yes,yes,no,no,yes,1,yes,semi-furnished
3690000,4261,2,2,1,yes,no,no,no,yes,0,no,semi-furnished
4610000,8837,5,1,3,yes,yes,no,no,no,2,no,unfurnished
2820000,4388,3,1,2,yes,no,no,no,no,0,yes,unfurnished
4500000,6449,2,2,1,yes,yes,no,no,no,1,yes,furnished
5000000,11261,3,1,2,yes,no,yes,no,no,1,no,semi-furnished
2750000,3752,1,3,1,no,no,yes,no,no,2,yes,semi-furnished
4890000,11510,2,3,1,yes,no,no,yes,yes,2,no,unfurnished
4340000,3154,3,3,4,yes,yes,no,no,yes,2,no,furnished
4730000,4198,5,3,3,yes,no,yes,no,yes,3,no,furnished
5040000,10200,4,2,1,yes,no,yes,no,yes,0,no,semi-furnished
6630000,13195,4,1,4,yes,no,yes,no,yes,1,no,furnished
3920000,4132,3,2,3,yes,no,no,yes,yes,0,no,semi-furnished
4970000,6014,1,2,4,yes,no,yes,yes,yes,0,yes,semi-furnished
5850000,15110,2,3,3,yes,yes,no,no,no,0,yes,furnished
6490000,16049,5,1,2,yes,no,no,yes,no,2,no,semi-furnished
5350000,10104,1,2,3,yes,yes,yes,no,no,3,yes,unfurnished
4030000,8154,5,2,3,yes,no,no,no,no,3,no,unfurnished
3560000,6696,4,1,3,yes,no,no,no,no,2,no,semi-furnished
4100000,10561,2,1,1,no,no,no,no,yes,3,no,furnished
4820000,10247,4,2,2,yes,no,no,no,no,0,no,furnished
4640000,5938,5,1,1,yes,yes,no,no,yes,3,no,unfurnished
2600000,1981,1,1,2,no,no,yes,no,no,3,no,unfurnished
2740000,3854,1,2,1,yes,no,no,no,yes,0,yes,semi-furnished
5710000,15597,4,1,1,yes,no,no,no,no,1,no,unfurnished
5510000,7734,5,2,4,no,no,yes,no,yes,3,no,furnished
3620000,8667,1,1,1,yes,yes,no,no,no,1,no,semi-furnished
4820000,8446,4,1,4,yes,no,no,no,no,3,no,furnished
5930000,13038,1,2,1,yes,yes,yes,no,no,3,yes,furnished
4320000,2595,4,3,4,yes,no,yes,no,no,1,no,semi-furnished
3250000,2853,4,2,2,yes,no,no,no,no,0,no,semi-furnished
3990000,5663,1,3,3,yes,yes,yes,no,yes,1,yes,unfurnished
4800000,8730,4,2,2,yes,no,yes,no,no,0,no,semi-furnished
5610000,11414,5,2,2,yes,yes,no,no,no,1,no,unfurnished
5800000,8789,5,2,2,yes,no,yes,yes,yes,2,yes,unfurnished
4870000,8068,1,3,3,yes,no,no,no,yes,1,no,semi-furnished
6230000,15295,2,3,2,no,yes,no,yes,no,0,yes,unfurnished
3330000,3992,2,3,3,yes,no,no,no,no,1,no,semi-furnished
5840000,9968,3,3,4,yes,no,yes,no,no,2,yes,semi-furnished
3380000,9539,1,2,2,yes,yes,no,no,no,0,no,furnished
5150000,8539,5,2,2,yes,no,yes,no,no,0,yes,furnished
5810000,13400,4,3,1,yes,yes,no,yes,no,3,no,unfurnished
3410000,5534,5,1,2,no,no,no,no,yes,0,yes,semi-furnished
6060000,15527,1,2,1,yes,yes,no,no,no,1,no,semi-furnished
3820000,6474,1,3,1,yes,no,yes,no,no,0,no,furnished
5930000,9579,5,2,4,yes,no,yes,no,yes,0,yes,semi-furnished
3430000,9225,2,1,1,yes,yes,no,no,no,1,no,unfurnished
6620000,14014,4,2,2,yes,no,yes,no,yes,2,no,furnished
4760000,8036,5,1,4,yes,no,yes,no,no,0,no,unfurnished
3220000,5790,1,3,4,yes,no,no,no,no,0,no,semi-furnished
2390000,1964,1,3,1,yes,no,no,no,no,0,yes,unfurnished
3830000,6941,1,1,1,yes,yes,yes,no,no,2,no,furnished
4520000,13672,1,2,2,no,yes,no,yes,no,3,no,semi-furnished
2680000,1794,1,3,3,no,no,no,no,no,0,yes,furnished
6500000,14689,5,3,4,yes,no,no,no,no,1,no,semi-furnished
3930000,9548,4,1,1,yes,no,no,no,no,1,no,unfurnished
3320000,3690,5,2,1,yes,no,no,no,yes,1,no,semi-furnished
4120000,6046,5,2,2,no,no,no,no,yes,0,no,furnished
5980000,9711,5,2,4,yes,yes,no,yes,no,0,no,unfurnished
4110000,6243,2,1,1,yes,yes,no,yes,yes,2,yes,furnished
3150000,3229,2,1,2,yes,no,yes,yes,yes,1,no,semi-furnished
6980000,11340,5,3,1,yes,no,yes,no,yes,1,yes,unfurnished
4370000,11431,2,1,1,yes,no,yes,yes,no,1,no,semi-furnished
3320000,3379,1,1,4,no,no,no,no,yes,3,no,unfurnished
3290000,5741,4,1,1,yes,no,no,no,no,2,no,semi-furnished
4360000,5198,5,1,2,yes,no,no,no,no,1,yes,unfurnished
5310000,11244,5,1,4,no,yes,no,no,no,0,no,semi-furnished
6290000,12275,5,2,3,yes,no,no,no,yes,3,no,semi-furnished
5660000,12227,1,3,1,yes,yes,yes,yes,no,3,no,furnished
5580000,15308,4,1,2,yes,no,no,no,yes,0,no,unfurnished
6140000,12833,5,1,4,yes,yes,no,no,no,3,no,furnished
4670000,6315,4,1,2,yes,yes,yes,yes,yes,2,no,unfurnished
3800000,3217,5,2,3,yes,no,no,no,no,0,yes,furnished
5650000,10593,5,1,3,yes,no,no,yes,yes,3,no,furnished
6240000,14977,3,3,3,yes,no,no,no,no,0,yes,unfurnished
6360000,15838,1,2,1,yes,yes,no,no,yes,0,no,furnished
4840000,4999,3,3,4,yes,no,yes,no,no,0,yes,semi-furnished
3160000,5090,2,2,4,yes,no,yes,no,no,1,no,unfurnished
2530000,2194,1,2,1,yes,no,yes,no,yes,2,no,furnished
3880000,3705,1,3,4,no,yes,yes,no,yes,1,no,furnished
6190000,9723,4,2,4,yes,no,no,no,yes,0,yes,semi-furnished
6110000,9605,3,3,3,yes,no,no,no,yes,0,yes,furnished
4110000,7046,3,3,2,yes,no,yes,no,no,3,no,furnished
4130000,6159,4,2,2,yes,yes,no,no,no,3,no,furnished
6760000,13723,3,3,4,yes,yes,no,no,yes,3,yes,semi-furnished
3810000,8343,4,1,1,yes,no,no,yes,no,0,no,semi-furnished
7190000,13410,1,3,4,no,yes,no,no,yes,3,yes,furnished
6450000,15664,5,3,4,yes,no,no,no,no,2,no,semi-furnished
3370000,6264,3,3,3,no,yes,no,no,no,2,no,semi-furnished
2670000,4599,1,1,2,no,yes,yes,no,no,0,yes,furnished
7440000,15514,5,3,3,yes,no,no,no,no,3,yes,semi-furnished
5270000,10886,4,2,1,yes,no,no,no,no,1,yes,unfurnished
3550000,5882,1,1,4,yes,no,no,no,no,0,yes,semi-furnished
4440000,10698,1,1,2,no,no,no,no,yes,0,no,semi-furnished
3030000,9144,1,2,1,yes,no,no,no,no,1,no,semi-furnished
6030000,14825,2,1,4,yes,no,no,no,no,0,no,furnished
2270000,5374,1,1,3,no,no,no,no,no,1,no,unfurnished
6860000,16074,4,2,3,yes,no,no,no,yes,1,no,unfurnished
5540000,15269,3,2,1,yes,no,no,no,yes,3,no,unfurnished
3520000,4279,5,1,4,yes,no,no,no,no,0,no,furnished
4210000,4045,4,3,3,no,no,yes,no,no,2,yes,semi-furnished
5860000,9407,4,3,4,no,yes,no,no,no,3,no,furnished
2640000,2303,3,2,4,yes,no,yes,no,no,3,no,semi-furnished
4240000,5997,1,3,1,yes,no,yes,yes,no,3,yes,semi-furnished
3460000,7980,1,2,1,yes,no,yes,no,yes,0,no,semi-furnished
6870000,15754,4,1,4,yes,no,no,yes,no,3,no,furnished
6530000,16089,1,1,3,yes,yes,yes,no,yes,3,no,unfurnished
4480000,3854,1,3,2,yes,no,yes,no,yes,1,yes,furnished
6390000,14623,2,3,2,yes,yes,yes,no,yes,1,no,furnished
3910000,2973,5,3,3,yes,no,no,no,no,2,no,unfurnished
5530000,12542,3,1,4,yes,no,no,no,no,1,no,unfurnished
4780000,13954,4,1,1,yes,no,yes,no,no,1,no,semi-furnished
6900000,14611,3,1,3,yes,no,yes,no,yes,3,yes,semi-furnished
3560000,4900,1,1,4,yes,no,no,no,no,3,no,furnished
5410000,14649,2,1,2,yes,no,yes,no,no,1,no,furnished
1900000,3337,1,2,2,no,no,no,no,no,3,no,semi-furnished
4880000,9199,4,1,4,yes,no,no,no,no,1,no,semi-furnished
3590000,8481,1,3,1,yes,no,no,no,no,3,no,semi-furnished
3640000,6246,2,2,2,no,yes,yes,no,no,2,no,furnished
2980000,1971,5,1,2,yes,no,no,no,no,1,yes,semi-furnished
5910000,12882,3,2,4,yes,yes,yes,no,no,0,no,unfurnished
4530000,6532,3,3,1,yes,no,no,no,yes,2,yes,furnished
4500000,11277,3,1,2,no,no,no,no,yes,1,no,furnished
3940000,7618,4,1,1,yes,no,no,no,yes,0,no,semi-furnished
3800000,7086,2,1,4,no,yes,no,yes,no,0,no,unfurnished
7600000,14545,4,3,3,yes,no,yes,no,no,3,no,semi-furnished
2000000,3024,5,1,2,yes,no,no,no,no,0,no,unfurnished
5970000,12367,3,2,2,yes,yes,no,no,no,3,yes,semi-furnished
5990000,12515,3,2,1,yes,yes,yes,no,yes,3,yes,furnished
4880000,7178,1,3,4,yes,no,no,yes,no,0,yes,semi-furnished
3240000,5468,2,1,3,yes,no,no,no,yes,2,no,furnished
2710000,1727,5,3,2,no,yes,no,no,no,2,no,unfurnished
6930000,15280,3,3,2,yes,yes,no,no,yes,1,yes,furnished
6030000,15439,2,2,3,yes,no,no,no,no,2,no,furnished
3270000,5156,3,1,3,yes,no,no,no,no,1,no,semi-furnished
3220000,2114,3,3,2,yes,no,yes,no,no,1,no,semi-furnished
3310000,3436,3,1,2,yes,no,no,no,yes,1,yes,semi-furnished
3030000,2634,4,2,3,yes,yes,yes,no,no,3,no,semi-furnished
5780000,13742,2,2,3,yes,yes,no,no,no,2,no,unfurnished
5540000,14627,4,1,3,yes,no,no,no,no,1,no,unfurnished
3630000,3880,3,2,1,no,yes,no,no,no,3,yes,unfurnished
5850000,12515,5,1,2,yes,yes,yes,no,yes,3,no,semi-furnished
2270000,4258,1,1,3,yes,no,yes,no,no,3,no,semi-furnished
3780000,6992,1,1,4,yes,no,no,no,yes,2,no,semi-furnished
5510000,10371,3,1,3,yes,no,yes,no,yes,1,no,semi-furnished
5250000,12124,3,2,2,no,no,yes,no,no,3,no,semi-furnished
6490000,14374,4,3,3,no,no,no,yes,no,1,yes,semi-furnished
